,p_hat,method
2,0.646,OMNI
10,0.035,OMNI
18,0.559,OMNI
26,0.557,OMNI
34,0.197,OMNI
42,0.498,OMNI
50,0.961,OMNI
58,0.406,OMNI
66,0.528,OMNI
74,0.278,OMNI
82,0.163,OMNI
90,0.894,OMNI
98,0.923,OMNI
106,0.6890000000000001,OMNI
114,0.354,OMNI
122,0.16,OMNI
130,0.663,OMNI
138,0.299,OMNI
146,0.787,OMNI
154,0.866,OMNI
162,0.17400000000000002,OMNI
170,0.8230000000000001,OMNI
178,0.221,OMNI
186,0.124,OMNI
194,0.904,OMNI
202,0.226,OMNI
210,0.485,OMNI
218,0.847,OMNI
226,0.834,OMNI
234,0.715,OMNI
242,0.759,OMNI
250,0.148,OMNI
258,0.9460000000000001,OMNI
266,0.374,OMNI
274,0.915,OMNI
282,0.7020000000000001,OMNI
290,0.854,OMNI
298,0.451,OMNI
306,0.171,OMNI
314,0.11800000000000001,OMNI
322,0.41200000000000003,OMNI
330,0.067,OMNI
338,0.135,OMNI
346,0.631,OMNI
354,0.78,OMNI
362,0.445,OMNI
370,0.332,OMNI
378,0.08700000000000001,OMNI
386,0.808,OMNI
394,0.28,OMNI
402,0.428,OMNI
410,0.388,OMNI
418,0.212,OMNI
426,0.681,OMNI
434,0.615,OMNI
442,0.708,OMNI
450,0.868,OMNI
458,0.364,OMNI
466,0.145,OMNI
474,0.202,OMNI
482,0.9470000000000001,OMNI
490,0.10300000000000001,OMNI
498,0.35100000000000003,OMNI
506,0.612,OMNI
514,0.874,OMNI
522,0.863,OMNI
530,0.981,OMNI
538,0.758,OMNI
546,0.519,OMNI
554,0.984,OMNI
562,0.037,OMNI
570,0.867,OMNI
578,0.805,OMNI
586,0.211,OMNI
594,0.115,OMNI
602,0.718,OMNI
610,0.75,OMNI
618,0.095,OMNI
626,0.34700000000000003,OMNI
634,0.242,OMNI
642,0.438,OMNI
650,0.721,OMNI
658,0.895,OMNI
666,0.06,OMNI
674,0.629,OMNI
682,0.886,OMNI
690,0.704,OMNI
698,0.853,OMNI
706,0.249,OMNI
714,0.741,OMNI
722,0.676,OMNI
730,0.053,OMNI
738,0.969,OMNI
746,0.352,OMNI
754,0.588,OMNI
762,0.307,OMNI
770,0.309,OMNI
778,0.844,OMNI
786,0.095,OMNI
794,0.434,OMNI
802,0.14100000000000001,OMNI
810,0.545,OMNI
818,0.9540000000000001,OMNI
826,0.386,OMNI
834,0.386,OMNI
842,0.298,OMNI
850,0.531,OMNI
858,0.015,OMNI
866,0.783,OMNI
874,0.753,OMNI
882,0.20500000000000002,OMNI
890,0.559,OMNI
898,0.34800000000000003,OMNI
906,0.994,OMNI
914,0.262,OMNI
922,0.853,OMNI
930,0.268,OMNI
938,0.339,OMNI
946,0.655,OMNI
954,0.044,OMNI
962,0.164,OMNI
970,0.902,OMNI
978,0.182,OMNI
986,0.901,OMNI
994,0.122,OMNI
1002,0.6,OMNI
1010,0.295,OMNI
1018,0.396,OMNI
1026,0.419,OMNI
1034,0.125,OMNI
1042,0.048,OMNI
1050,0.842,OMNI
1058,0.522,OMNI
1066,0.903,OMNI
1074,0.9590000000000001,OMNI
1082,0.263,OMNI
1090,0.506,OMNI
1098,0.9530000000000001,OMNI
1106,0.109,OMNI
1114,0.676,OMNI
1122,0.305,OMNI
1130,0.157,OMNI
1138,0.536,OMNI
1146,0.065,OMNI
1154,0.8320000000000001,OMNI
1162,0.462,OMNI
1170,0.8270000000000001,OMNI
1178,0.5660000000000001,OMNI
1186,0.513,OMNI
1194,0.47100000000000003,OMNI
1202,0.8150000000000001,OMNI
1210,0.898,OMNI
1218,0.754,OMNI
1226,0.851,OMNI
1234,0.185,OMNI
1242,0.106,OMNI
1250,0.131,OMNI
1258,0.341,OMNI
1266,0.513,OMNI
1274,0.22,OMNI
1282,0.722,OMNI
1290,0.777,OMNI
1298,0.343,OMNI
1306,0.678,OMNI
1314,0.722,OMNI
1322,0.5,OMNI
1330,0.96,OMNI
1338,0.809,OMNI
1346,0.149,OMNI
1354,0.46900000000000003,OMNI
1362,0.405,OMNI
1370,0.88,OMNI
1378,0.045,OMNI
1386,0.519,OMNI
1394,0.719,OMNI
1402,0.343,OMNI
1410,0.8170000000000001,OMNI
1418,0.051000000000000004,OMNI
1426,0.916,OMNI
1434,0.686,OMNI
1442,0.788,OMNI
1450,0.02,OMNI
1458,0.433,OMNI
1466,0.52,OMNI
1474,0.423,OMNI
1482,0.859,OMNI
1490,0.095,OMNI
1498,0.764,OMNI
1506,0.49,OMNI
1514,0.639,OMNI
1522,0.451,OMNI
1530,0.987,OMNI
1538,0.54,OMNI
1546,0.493,OMNI
1554,0.798,OMNI
1562,0.499,OMNI
1570,0.633,OMNI
1578,0.623,OMNI
1586,0.9500000000000001,OMNI
1594,0.322,OMNI
