,p_hat,method
1,0.484,SSE Procrustes
9,0.538,SSE Procrustes
17,0.495,SSE Procrustes
25,0.131,SSE Procrustes
33,0.788,SSE Procrustes
41,0.579,SSE Procrustes
49,0.842,SSE Procrustes
57,0.683,SSE Procrustes
65,0.665,SSE Procrustes
73,0.10300000000000001,SSE Procrustes
81,0.857,SSE Procrustes
89,0.755,SSE Procrustes
97,0.807,SSE Procrustes
105,0.40700000000000003,SSE Procrustes
113,0.906,SSE Procrustes
121,0.896,SSE Procrustes
129,0.323,SSE Procrustes
137,0.611,SSE Procrustes
145,0.764,SSE Procrustes
153,0.905,SSE Procrustes
161,0.178,SSE Procrustes
169,0.622,SSE Procrustes
177,0.31,SSE Procrustes
185,0.323,SSE Procrustes
193,0.685,SSE Procrustes
201,0.734,SSE Procrustes
209,0.096,SSE Procrustes
217,0.405,SSE Procrustes
225,0.873,SSE Procrustes
233,0.808,SSE Procrustes
241,0.336,SSE Procrustes
249,0.038,SSE Procrustes
257,0.745,SSE Procrustes
265,0.277,SSE Procrustes
273,0.673,SSE Procrustes
281,0.981,SSE Procrustes
289,0.496,SSE Procrustes
297,0.642,SSE Procrustes
305,0.527,SSE Procrustes
313,0.106,SSE Procrustes
321,0.48,SSE Procrustes
329,0.017,SSE Procrustes
337,0.81,SSE Procrustes
345,0.978,SSE Procrustes
353,0.491,SSE Procrustes
361,0.125,SSE Procrustes
369,0.587,SSE Procrustes
377,0.8230000000000001,SSE Procrustes
385,0.319,SSE Procrustes
393,0.541,SSE Procrustes
401,0.406,SSE Procrustes
409,0.039,SSE Procrustes
417,0.023,SSE Procrustes
425,0.254,SSE Procrustes
433,0.094,SSE Procrustes
441,0.318,SSE Procrustes
449,0.453,SSE Procrustes
457,0.721,SSE Procrustes
465,0.19,SSE Procrustes
473,0.281,SSE Procrustes
481,0.87,SSE Procrustes
489,0.139,SSE Procrustes
497,0.32,SSE Procrustes
505,0.373,SSE Procrustes
513,0.888,SSE Procrustes
521,0.712,SSE Procrustes
529,0.9530000000000001,SSE Procrustes
537,0.863,SSE Procrustes
545,0.92,SSE Procrustes
553,0.744,SSE Procrustes
561,0.531,SSE Procrustes
569,0.513,SSE Procrustes
577,0.555,SSE Procrustes
585,0.209,SSE Procrustes
593,0.505,SSE Procrustes
601,0.767,SSE Procrustes
609,0.79,SSE Procrustes
617,0.059000000000000004,SSE Procrustes
625,0.14,SSE Procrustes
633,0.522,SSE Procrustes
641,0.185,SSE Procrustes
649,0.23600000000000002,SSE Procrustes
657,0.795,SSE Procrustes
665,0.2,SSE Procrustes
673,0.259,SSE Procrustes
681,0.881,SSE Procrustes
689,0.595,SSE Procrustes
697,0.9390000000000001,SSE Procrustes
705,0.02,SSE Procrustes
713,0.799,SSE Procrustes
721,0.976,SSE Procrustes
729,0.254,SSE Procrustes
737,0.995,SSE Procrustes
745,0.459,SSE Procrustes
753,0.245,SSE Procrustes
761,0.185,SSE Procrustes
769,0.306,SSE Procrustes
777,0.622,SSE Procrustes
785,0.8180000000000001,SSE Procrustes
793,0.658,SSE Procrustes
801,0.41200000000000003,SSE Procrustes
809,0.844,SSE Procrustes
817,0.5730000000000001,SSE Procrustes
825,0.278,SSE Procrustes
833,0.299,SSE Procrustes
841,0.864,SSE Procrustes
849,0.352,SSE Procrustes
857,0.975,SSE Procrustes
865,0.996,SSE Procrustes
873,0.965,SSE Procrustes
881,0.876,SSE Procrustes
889,0.896,SSE Procrustes
897,0.889,SSE Procrustes
905,0.685,SSE Procrustes
913,0.138,SSE Procrustes
921,0.745,SSE Procrustes
929,0.304,SSE Procrustes
937,0.53,SSE Procrustes
945,0.484,SSE Procrustes
953,0.538,SSE Procrustes
961,0.8180000000000001,SSE Procrustes
969,0.494,SSE Procrustes
977,0.355,SSE Procrustes
985,0.728,SSE Procrustes
993,0.373,SSE Procrustes
1001,0.231,SSE Procrustes
1009,0.041,SSE Procrustes
1017,0.057,SSE Procrustes
1025,0.788,SSE Procrustes
1033,0.727,SSE Procrustes
1041,0.889,SSE Procrustes
1049,0.154,SSE Procrustes
1057,0.647,SSE Procrustes
1065,0.546,SSE Procrustes
1073,0.961,SSE Procrustes
1081,0.182,SSE Procrustes
1089,0.276,SSE Procrustes
1097,0.8140000000000001,SSE Procrustes
1105,0.545,SSE Procrustes
1113,0.228,SSE Procrustes
1121,0.622,SSE Procrustes
1129,0.23500000000000001,SSE Procrustes
1137,0.834,SSE Procrustes
1145,0.032,SSE Procrustes
1153,0.772,SSE Procrustes
1161,0.042,SSE Procrustes
1169,0.176,SSE Procrustes
1177,0.301,SSE Procrustes
1185,0.81,SSE Procrustes
1193,0.931,SSE Procrustes
1201,0.496,SSE Procrustes
1209,0.622,SSE Procrustes
1217,0.211,SSE Procrustes
1225,0.77,SSE Procrustes
1233,0.266,SSE Procrustes
1241,0.113,SSE Procrustes
1249,0.117,SSE Procrustes
1257,0.687,SSE Procrustes
1265,0.28500000000000003,SSE Procrustes
1273,0.222,SSE Procrustes
1281,0.62,SSE Procrustes
1289,0.40700000000000003,SSE Procrustes
1297,0.196,SSE Procrustes
1305,0.851,SSE Procrustes
1313,0.812,SSE Procrustes
1321,0.537,SSE Procrustes
1329,0.87,SSE Procrustes
1337,0.797,SSE Procrustes
1345,0.553,SSE Procrustes
1353,0.156,SSE Procrustes
1361,0.14200000000000002,SSE Procrustes
1369,0.996,SSE Procrustes
1377,0.797,SSE Procrustes
1385,0.178,SSE Procrustes
1393,0.776,SSE Procrustes
1401,0.265,SSE Procrustes
1409,0.51,SSE Procrustes
1417,0.127,SSE Procrustes
1425,0.75,SSE Procrustes
1433,0.28600000000000003,SSE Procrustes
1441,0.909,SSE Procrustes
1449,0.457,SSE Procrustes
1457,0.262,SSE Procrustes
1465,0.679,SSE Procrustes
1473,0.399,SSE Procrustes
1481,0.487,SSE Procrustes
1489,0.8250000000000001,SSE Procrustes
1497,0.383,SSE Procrustes
1505,0.297,SSE Procrustes
1513,0.523,SSE Procrustes
1521,0.253,SSE Procrustes
1529,0.785,SSE Procrustes
1537,0.098,SSE Procrustes
1545,0.018000000000000002,SSE Procrustes
1553,0.256,SSE Procrustes
1561,0.961,SSE Procrustes
1569,0.279,SSE Procrustes
1577,0.168,SSE Procrustes
