,p_hat,method
3,0.625,UASE
11,0.468,UASE
19,0.792,UASE
27,0.497,UASE
35,0.452,UASE
43,0.603,UASE
51,0.865,UASE
59,0.226,UASE
67,0.113,UASE
75,0.098,UASE
83,0.9460000000000001,UASE
91,0.186,UASE
99,0.514,UASE
107,0.5690000000000001,UASE
115,0.918,UASE
123,0.919,UASE
131,0.8300000000000001,UASE
139,0.14300000000000002,UASE
147,0.516,UASE
155,0.5660000000000001,UASE
163,0.403,UASE
171,0.524,UASE
179,0.225,UASE
187,0.171,UASE
195,0.312,UASE
203,0.016,UASE
211,0.386,UASE
219,0.308,UASE
227,0.41100000000000003,UASE
235,0.203,UASE
243,0.852,UASE
251,0.338,UASE
259,0.34700000000000003,UASE
267,0.189,UASE
275,0.781,UASE
283,0.657,UASE
291,0.47200000000000003,UASE
299,0.28500000000000003,UASE
307,0.675,UASE
315,0.71,UASE
323,0.9550000000000001,UASE
331,0.6940000000000001,UASE
339,0.784,UASE
347,0.336,UASE
355,0.622,UASE
363,0.127,UASE
371,0.739,UASE
379,0.662,UASE
387,0.55,UASE
395,0.123,UASE
403,0.198,UASE
411,0.5750000000000001,UASE
419,0.5700000000000001,UASE
427,0.306,UASE
435,0.578,UASE
443,0.5720000000000001,UASE
451,0.17500000000000002,UASE
459,0.074,UASE
467,0.971,UASE
475,0.673,UASE
483,0.935,UASE
491,0.499,UASE
499,0.39,UASE
507,0.14400000000000002,UASE
515,0.846,UASE
523,0.499,UASE
531,0.29,UASE
539,0.434,UASE
547,0.132,UASE
555,0.004,UASE
563,0.232,UASE
571,0.55,UASE
579,0.913,UASE
587,0.786,UASE
595,0.606,UASE
603,0.036000000000000004,UASE
611,0.961,UASE
619,0.23800000000000002,UASE
627,0.66,UASE
635,0.682,UASE
643,0.984,UASE
651,0.23700000000000002,UASE
659,0.353,UASE
667,0.357,UASE
675,0.5740000000000001,UASE
683,0.127,UASE
691,0.972,UASE
699,0.523,UASE
707,0.097,UASE
715,0.849,UASE
723,0.40900000000000003,UASE
731,0.66,UASE
739,0.002,UASE
747,0.124,UASE
755,0.882,UASE
763,0.526,UASE
771,0.011,UASE
779,0.64,UASE
787,0.651,UASE
795,0.771,UASE
803,0.34600000000000003,UASE
811,0.304,UASE
819,0.304,UASE
827,0.462,UASE
835,0.23500000000000001,UASE
843,0.373,UASE
851,0.111,UASE
859,0.878,UASE
867,0.59,UASE
875,0.5680000000000001,UASE
883,0.968,UASE
891,0.197,UASE
899,0.868,UASE
907,0.649,UASE
915,0.35000000000000003,UASE
923,0.162,UASE
931,0.9470000000000001,UASE
939,0.432,UASE
947,0.192,UASE
955,0.807,UASE
963,0.7000000000000001,UASE
971,0.435,UASE
979,0.834,UASE
987,0.134,UASE
995,0.806,UASE
1003,0.331,UASE
1011,0.262,UASE
1019,0.192,UASE
1027,0.547,UASE
1035,0.72,UASE
1043,0.866,UASE
1051,0.637,UASE
1059,0.435,UASE
1067,0.335,UASE
1075,0.682,UASE
1083,0.5650000000000001,UASE
1091,0.723,UASE
1099,0.47000000000000003,UASE
1107,0.514,UASE
1115,0.23800000000000002,UASE
1123,0.289,UASE
1131,0.443,UASE
1139,0.262,UASE
1147,0.099,UASE
1155,0.687,UASE
1163,0.202,UASE
1171,0.402,UASE
1179,0.864,UASE
1187,0.47800000000000004,UASE
1195,0.325,UASE
1203,0.518,UASE
1211,0.269,UASE
1219,0.28700000000000003,UASE
1227,0.34600000000000003,UASE
1235,0.242,UASE
1243,0.23600000000000002,UASE
1251,0.741,UASE
1259,0.13,UASE
1267,0.389,UASE
1275,0.47200000000000003,UASE
1283,0.154,UASE
1291,0.595,UASE
1299,0.644,UASE
1307,0.762,UASE
1315,0.464,UASE
1323,0.34,UASE
1331,0.078,UASE
1339,0.10200000000000001,UASE
1347,0.34400000000000003,UASE
1355,0.613,UASE
1363,0.916,UASE
1371,0.176,UASE
1379,0.892,UASE
1387,0.1,UASE
1395,0.427,UASE
1403,0.421,UASE
1411,0.808,UASE
1419,0.725,UASE
1427,0.9490000000000001,UASE
1435,0.337,UASE
1443,0.264,UASE
1451,0.492,UASE
1459,0.162,UASE
1467,0.989,UASE
1475,0.181,UASE
1483,0.775,UASE
1491,0.9550000000000001,UASE
1499,0.9550000000000001,UASE
1507,0.0,UASE
1515,0.579,UASE
1523,0.963,UASE
1531,0.338,UASE
1539,0.233,UASE
1547,0.276,UASE
1555,0.885,UASE
1563,0.312,UASE
1571,0.387,UASE
1579,0.758,UASE
1587,0.81,UASE
1595,0.646,UASE
