,p_hat,method
4,0.625,URLSE
12,0.46900000000000003,URLSE
20,0.782,URLSE
28,0.518,URLSE
36,0.433,URLSE
44,0.626,URLSE
52,0.865,URLSE
60,0.278,URLSE
68,0.129,URLSE
76,0.099,URLSE
84,0.9480000000000001,URLSE
92,0.169,URLSE
100,0.557,URLSE
108,0.538,URLSE
116,0.908,URLSE
124,0.917,URLSE
132,0.8170000000000001,URLSE
140,0.117,URLSE
148,0.527,URLSE
156,0.5760000000000001,URLSE
164,0.39,URLSE
172,0.495,URLSE
180,0.226,URLSE
188,0.15,URLSE
196,0.323,URLSE
204,0.019,URLSE
212,0.364,URLSE
220,0.332,URLSE
228,0.386,URLSE
236,0.234,URLSE
244,0.873,URLSE
252,0.341,URLSE
260,0.323,URLSE
268,0.162,URLSE
276,0.765,URLSE
284,0.661,URLSE
292,0.458,URLSE
300,0.27,URLSE
308,0.6990000000000001,URLSE
316,0.737,URLSE
324,0.9530000000000001,URLSE
332,0.665,URLSE
340,0.74,URLSE
348,0.358,URLSE
356,0.605,URLSE
364,0.125,URLSE
372,0.725,URLSE
380,0.669,URLSE
388,0.551,URLSE
396,0.155,URLSE
404,0.192,URLSE
412,0.61,URLSE
420,0.5660000000000001,URLSE
428,0.279,URLSE
436,0.585,URLSE
444,0.549,URLSE
452,0.164,URLSE
460,0.061,URLSE
468,0.976,URLSE
476,0.68,URLSE
484,0.926,URLSE
492,0.522,URLSE
500,0.392,URLSE
508,0.145,URLSE
516,0.843,URLSE
524,0.483,URLSE
532,0.28800000000000003,URLSE
540,0.466,URLSE
548,0.1,URLSE
556,0.01,URLSE
564,0.23800000000000002,URLSE
572,0.579,URLSE
580,0.925,URLSE
588,0.771,URLSE
596,0.645,URLSE
604,0.042,URLSE
612,0.967,URLSE
620,0.234,URLSE
628,0.625,URLSE
636,0.658,URLSE
644,0.982,URLSE
652,0.231,URLSE
660,0.325,URLSE
668,0.36,URLSE
676,0.5760000000000001,URLSE
684,0.14400000000000002,URLSE
692,0.977,URLSE
700,0.5660000000000001,URLSE
708,0.097,URLSE
716,0.833,URLSE
724,0.437,URLSE
732,0.716,URLSE
740,0.002,URLSE
748,0.107,URLSE
756,0.846,URLSE
764,0.504,URLSE
772,0.011,URLSE
780,0.63,URLSE
788,0.649,URLSE
796,0.733,URLSE
804,0.366,URLSE
812,0.323,URLSE
820,0.328,URLSE
828,0.427,URLSE
836,0.242,URLSE
844,0.385,URLSE
852,0.117,URLSE
860,0.887,URLSE
868,0.607,URLSE
876,0.552,URLSE
884,0.973,URLSE
892,0.192,URLSE
900,0.842,URLSE
908,0.654,URLSE
916,0.338,URLSE
924,0.166,URLSE
932,0.9390000000000001,URLSE
940,0.432,URLSE
948,0.191,URLSE
956,0.79,URLSE
964,0.675,URLSE
972,0.42,URLSE
980,0.84,URLSE
988,0.132,URLSE
996,0.79,URLSE
1004,0.366,URLSE
1012,0.264,URLSE
1020,0.187,URLSE
1028,0.584,URLSE
1036,0.729,URLSE
1044,0.865,URLSE
1052,0.63,URLSE
1060,0.438,URLSE
1068,0.316,URLSE
1076,0.682,URLSE
1084,0.534,URLSE
1092,0.71,URLSE
1100,0.488,URLSE
1108,0.551,URLSE
1116,0.225,URLSE
1124,0.281,URLSE
1132,0.41600000000000004,URLSE
1140,0.273,URLSE
1148,0.10300000000000001,URLSE
1156,0.676,URLSE
1164,0.215,URLSE
1172,0.398,URLSE
1180,0.848,URLSE
1188,0.45,URLSE
1196,0.31,URLSE
1204,0.534,URLSE
1212,0.264,URLSE
1220,0.336,URLSE
1228,0.329,URLSE
1236,0.277,URLSE
1244,0.232,URLSE
1252,0.762,URLSE
1260,0.108,URLSE
1268,0.376,URLSE
1276,0.482,URLSE
1284,0.154,URLSE
1292,0.621,URLSE
1300,0.64,URLSE
1308,0.784,URLSE
1316,0.428,URLSE
1324,0.329,URLSE
1332,0.079,URLSE
1340,0.10200000000000001,URLSE
1348,0.34700000000000003,URLSE
1356,0.641,URLSE
1364,0.905,URLSE
1372,0.168,URLSE
1380,0.881,URLSE
1388,0.107,URLSE
1396,0.395,URLSE
1404,0.399,URLSE
1412,0.8290000000000001,URLSE
1420,0.727,URLSE
1428,0.935,URLSE
1436,0.373,URLSE
1444,0.244,URLSE
1452,0.534,URLSE
1460,0.158,URLSE
1468,0.989,URLSE
1476,0.217,URLSE
1484,0.778,URLSE
1492,0.9540000000000001,URLSE
1500,0.9460000000000001,URLSE
1508,0.001,URLSE
1516,0.591,URLSE
1524,0.967,URLSE
1532,0.328,URLSE
1540,0.267,URLSE
1548,0.298,URLSE
1556,0.891,URLSE
1564,0.324,URLSE
1572,0.398,URLSE
1580,0.77,URLSE
1588,0.8190000000000001,URLSE
1596,0.612,URLSE
