,p_hat,method
6,0.023,Unfolded Node2Vec
14,0.121,Unfolded Node2Vec
22,0.425,Unfolded Node2Vec
30,0.581,Unfolded Node2Vec
38,0.22,Unfolded Node2Vec
46,0.715,Unfolded Node2Vec
54,0.539,Unfolded Node2Vec
62,0.094,Unfolded Node2Vec
70,0.429,Unfolded Node2Vec
78,0.02,Unfolded Node2Vec
86,0.47500000000000003,Unfolded Node2Vec
94,0.601,Unfolded Node2Vec
102,0.931,Unfolded Node2Vec
110,0.677,Unfolded Node2Vec
118,0.766,Unfolded Node2Vec
126,0.663,Unfolded Node2Vec
134,0.844,Unfolded Node2Vec
142,0.7000000000000001,Unfolded Node2Vec
150,0.15,Unfolded Node2Vec
158,0.618,Unfolded Node2Vec
166,0.937,Unfolded Node2Vec
174,0.506,Unfolded Node2Vec
182,0.5740000000000001,Unfolded Node2Vec
190,0.9540000000000001,Unfolded Node2Vec
198,0.246,Unfolded Node2Vec
206,0.291,Unfolded Node2Vec
214,0.973,Unfolded Node2Vec
222,0.987,Unfolded Node2Vec
230,0.631,Unfolded Node2Vec
238,0.234,Unfolded Node2Vec
246,0.67,Unfolded Node2Vec
254,0.126,Unfolded Node2Vec
262,0.643,Unfolded Node2Vec
270,0.998,Unfolded Node2Vec
278,0.668,Unfolded Node2Vec
286,0.9500000000000001,Unfolded Node2Vec
294,0.8310000000000001,Unfolded Node2Vec
302,0.891,Unfolded Node2Vec
310,0.092,Unfolded Node2Vec
318,0.337,Unfolded Node2Vec
326,0.47600000000000003,Unfolded Node2Vec
334,0.417,Unfolded Node2Vec
342,0.792,Unfolded Node2Vec
350,0.039,Unfolded Node2Vec
358,0.021,Unfolded Node2Vec
366,0.455,Unfolded Node2Vec
374,0.932,Unfolded Node2Vec
382,0.301,Unfolded Node2Vec
390,0.9510000000000001,Unfolded Node2Vec
398,0.115,Unfolded Node2Vec
406,0.66,Unfolded Node2Vec
414,0.034,Unfolded Node2Vec
422,0.912,Unfolded Node2Vec
430,0.893,Unfolded Node2Vec
438,0.893,Unfolded Node2Vec
446,0.484,Unfolded Node2Vec
454,0.611,Unfolded Node2Vec
462,0.9480000000000001,Unfolded Node2Vec
470,0.643,Unfolded Node2Vec
478,0.373,Unfolded Node2Vec
486,0.645,Unfolded Node2Vec
494,0.319,Unfolded Node2Vec
502,0.305,Unfolded Node2Vec
510,0.768,Unfolded Node2Vec
518,0.933,Unfolded Node2Vec
526,0.405,Unfolded Node2Vec
534,0.721,Unfolded Node2Vec
542,0.679,Unfolded Node2Vec
550,0.531,Unfolded Node2Vec
558,0.515,Unfolded Node2Vec
566,0.332,Unfolded Node2Vec
574,0.622,Unfolded Node2Vec
582,0.115,Unfolded Node2Vec
590,0.365,Unfolded Node2Vec
598,0.147,Unfolded Node2Vec
606,0.593,Unfolded Node2Vec
614,0.234,Unfolded Node2Vec
622,0.085,Unfolded Node2Vec
630,0.705,Unfolded Node2Vec
638,0.992,Unfolded Node2Vec
646,0.724,Unfolded Node2Vec
654,0.089,Unfolded Node2Vec
662,0.773,Unfolded Node2Vec
670,0.28400000000000003,Unfolded Node2Vec
678,0.47100000000000003,Unfolded Node2Vec
686,0.841,Unfolded Node2Vec
694,0.775,Unfolded Node2Vec
702,0.711,Unfolded Node2Vec
710,0.0,Unfolded Node2Vec
718,0.984,Unfolded Node2Vec
726,0.93,Unfolded Node2Vec
734,0.145,Unfolded Node2Vec
742,0.834,Unfolded Node2Vec
750,0.136,Unfolded Node2Vec
758,0.256,Unfolded Node2Vec
766,0.078,Unfolded Node2Vec
774,0.248,Unfolded Node2Vec
782,0.865,Unfolded Node2Vec
790,0.18,Unfolded Node2Vec
798,0.682,Unfolded Node2Vec
806,0.28700000000000003,Unfolded Node2Vec
814,0.265,Unfolded Node2Vec
822,0.051000000000000004,Unfolded Node2Vec
830,0.671,Unfolded Node2Vec
838,0.589,Unfolded Node2Vec
846,0.732,Unfolded Node2Vec
854,0.314,Unfolded Node2Vec
862,0.382,Unfolded Node2Vec
870,0.842,Unfolded Node2Vec
878,0.529,Unfolded Node2Vec
886,0.459,Unfolded Node2Vec
894,0.268,Unfolded Node2Vec
902,0.994,Unfolded Node2Vec
910,0.9390000000000001,Unfolded Node2Vec
918,0.604,Unfolded Node2Vec
926,0.13,Unfolded Node2Vec
934,0.924,Unfolded Node2Vec
942,0.292,Unfolded Node2Vec
950,0.8150000000000001,Unfolded Node2Vec
958,0.314,Unfolded Node2Vec
966,0.437,Unfolded Node2Vec
974,0.427,Unfolded Node2Vec
982,0.364,Unfolded Node2Vec
990,0.99,Unfolded Node2Vec
998,0.607,Unfolded Node2Vec
1006,0.6940000000000001,Unfolded Node2Vec
1014,0.537,Unfolded Node2Vec
1022,0.14200000000000002,Unfolded Node2Vec
1030,0.378,Unfolded Node2Vec
1038,0.786,Unfolded Node2Vec
1046,0.20600000000000002,Unfolded Node2Vec
1054,0.016,Unfolded Node2Vec
1062,0.128,Unfolded Node2Vec
1070,0.277,Unfolded Node2Vec
1078,0.9570000000000001,Unfolded Node2Vec
1086,0.068,Unfolded Node2Vec
1094,0.5760000000000001,Unfolded Node2Vec
1102,0.715,Unfolded Node2Vec
1110,0.401,Unfolded Node2Vec
1118,0.554,Unfolded Node2Vec
1126,0.8180000000000001,Unfolded Node2Vec
1134,0.084,Unfolded Node2Vec
1142,0.28,Unfolded Node2Vec
1150,0.993,Unfolded Node2Vec
1158,0.962,Unfolded Node2Vec
1166,0.5750000000000001,Unfolded Node2Vec
1174,0.031,Unfolded Node2Vec
1182,0.9460000000000001,Unfolded Node2Vec
1190,0.921,Unfolded Node2Vec
1198,0.9550000000000001,Unfolded Node2Vec
1206,0.5690000000000001,Unfolded Node2Vec
1214,0.23600000000000002,Unfolded Node2Vec
1222,0.012,Unfolded Node2Vec
1230,0.017,Unfolded Node2Vec
1238,0.155,Unfolded Node2Vec
1246,0.28700000000000003,Unfolded Node2Vec
1254,0.013000000000000001,Unfolded Node2Vec
1262,0.734,Unfolded Node2Vec
1270,0.8250000000000001,Unfolded Node2Vec
1278,0.101,Unfolded Node2Vec
1286,0.372,Unfolded Node2Vec
1294,0.55,Unfolded Node2Vec
1302,0.219,Unfolded Node2Vec
1310,0.9470000000000001,Unfolded Node2Vec
1318,0.682,Unfolded Node2Vec
1326,0.491,Unfolded Node2Vec
1334,0.441,Unfolded Node2Vec
1342,0.264,Unfolded Node2Vec
1350,0.686,Unfolded Node2Vec
1358,0.8210000000000001,Unfolded Node2Vec
1366,0.971,Unfolded Node2Vec
1374,0.08,Unfolded Node2Vec
1382,0.864,Unfolded Node2Vec
1390,0.064,Unfolded Node2Vec
1398,0.53,Unfolded Node2Vec
1406,0.649,Unfolded Node2Vec
1414,0.222,Unfolded Node2Vec
1422,0.833,Unfolded Node2Vec
1430,0.536,Unfolded Node2Vec
1438,0.468,Unfolded Node2Vec
1446,0.512,Unfolded Node2Vec
1454,0.002,Unfolded Node2Vec
1462,0.63,Unfolded Node2Vec
1470,0.998,Unfolded Node2Vec
1478,0.31,Unfolded Node2Vec
1486,0.851,Unfolded Node2Vec
1494,0.166,Unfolded Node2Vec
1502,0.9530000000000001,Unfolded Node2Vec
1510,0.396,Unfolded Node2Vec
1518,0.42,Unfolded Node2Vec
1526,0.297,Unfolded Node2Vec
1534,0.232,Unfolded Node2Vec
1542,0.615,Unfolded Node2Vec
1550,0.23700000000000002,Unfolded Node2Vec
1558,0.45,Unfolded Node2Vec
1566,0.685,Unfolded Node2Vec
1574,0.196,Unfolded Node2Vec
1582,0.124,Unfolded Node2Vec
1590,0.807,Unfolded Node2Vec
1598,0.834,Unfolded Node2Vec
