,p_hat,method
0,0.746,URLSE
1,0.9530000000000001,URLSE
2,0.51,URLSE
3,0.6890000000000001,URLSE
4,0.757,URLSE
5,0.611,URLSE
6,0.506,URLSE
7,0.41400000000000003,URLSE
8,0.558,URLSE
9,0.134,URLSE
10,0.387,URLSE
11,0.713,URLSE
12,0.447,URLSE
13,0.8210000000000001,URLSE
14,0.9570000000000001,URLSE
15,0.362,URLSE
16,0.65,URLSE
17,0.648,URLSE
18,0.742,URLSE
19,0.6920000000000001,URLSE
20,0.651,URLSE
21,0.233,URLSE
22,0.28200000000000003,URLSE
23,0.993,URLSE
24,0.154,URLSE
25,0.20500000000000002,URLSE
26,0.557,URLSE
27,0.47300000000000003,URLSE
28,0.988,URLSE
29,0.439,URLSE
30,0.088,URLSE
31,0.646,URLSE
32,0.553,URLSE
33,0.34600000000000003,URLSE
34,0.005,URLSE
35,0.683,URLSE
36,0.977,URLSE
37,0.436,URLSE
38,0.768,URLSE
39,0.34,URLSE
40,0.334,URLSE
41,0.709,URLSE
42,0.19,URLSE
43,0.334,URLSE
44,0.877,URLSE
45,0.324,URLSE
46,0.482,URLSE
47,0.74,URLSE
48,0.583,URLSE
49,0.393,URLSE
50,0.917,URLSE
51,0.20400000000000001,URLSE
52,0.638,URLSE
53,0.166,URLSE
54,0.561,URLSE
55,0.5730000000000001,URLSE
56,0.592,URLSE
57,0.724,URLSE
58,0.136,URLSE
59,0.633,URLSE
60,0.926,URLSE
61,0.455,URLSE
62,0.782,URLSE
63,0.967,URLSE
64,0.85,URLSE
65,0.082,URLSE
66,0.898,URLSE
67,0.47000000000000003,URLSE
68,0.319,URLSE
69,0.483,URLSE
70,0.9540000000000001,URLSE
71,0.742,URLSE
72,0.8210000000000001,URLSE
73,0.615,URLSE
74,0.492,URLSE
75,0.8170000000000001,URLSE
76,0.681,URLSE
77,0.711,URLSE
78,0.6910000000000001,URLSE
79,0.802,URLSE
80,0.23800000000000002,URLSE
81,0.542,URLSE
82,0.718,URLSE
83,0.35000000000000003,URLSE
84,0.167,URLSE
85,0.488,URLSE
86,0.17400000000000002,URLSE
87,0.838,URLSE
88,0.9570000000000001,URLSE
89,0.059000000000000004,URLSE
90,0.633,URLSE
91,0.28200000000000003,URLSE
92,0.8200000000000001,URLSE
93,0.628,URLSE
94,0.891,URLSE
95,0.546,URLSE
96,0.636,URLSE
97,0.925,URLSE
98,0.558,URLSE
99,0.231,URLSE
100,0.646,URLSE
101,0.17,URLSE
102,0.437,URLSE
103,0.5710000000000001,URLSE
104,0.549,URLSE
105,0.147,URLSE
106,0.812,URLSE
107,0.301,URLSE
108,0.732,URLSE
109,0.5680000000000001,URLSE
110,0.655,URLSE
111,0.841,URLSE
112,0.42,URLSE
113,0.406,URLSE
114,0.886,URLSE
115,0.193,URLSE
116,0.487,URLSE
117,0.006,URLSE
118,0.098,URLSE
119,0.214,URLSE
120,0.046,URLSE
121,0.497,URLSE
122,0.75,URLSE
123,0.777,URLSE
124,0.964,URLSE
125,0.9450000000000001,URLSE
126,0.268,URLSE
127,0.929,URLSE
128,0.323,URLSE
129,0.327,URLSE
130,0.76,URLSE
131,0.623,URLSE
132,0.464,URLSE
133,0.127,URLSE
134,0.884,URLSE
135,0.267,URLSE
136,0.393,URLSE
137,0.398,URLSE
138,0.994,URLSE
139,0.9420000000000001,URLSE
140,0.764,URLSE
141,0.579,URLSE
142,0.541,URLSE
143,0.41200000000000003,URLSE
144,0.384,URLSE
145,0.663,URLSE
146,0.8240000000000001,URLSE
147,0.20400000000000001,URLSE
148,0.069,URLSE
149,0.745,URLSE
150,0.507,URLSE
151,0.833,URLSE
152,0.115,URLSE
153,0.34700000000000003,URLSE
154,0.484,URLSE
155,0.224,URLSE
156,0.742,URLSE
157,0.017,URLSE
158,0.336,URLSE
159,0.043000000000000003,URLSE
160,0.9560000000000001,URLSE
161,0.383,URLSE
162,0.17300000000000001,URLSE
163,0.919,URLSE
164,0.11800000000000001,URLSE
165,0.395,URLSE
166,0.20500000000000002,URLSE
167,0.156,URLSE
168,0.209,URLSE
169,0.397,URLSE
170,0.28200000000000003,URLSE
171,0.294,URLSE
172,0.20400000000000001,URLSE
173,0.329,URLSE
174,0.188,URLSE
175,0.638,URLSE
176,0.898,URLSE
177,0.029,URLSE
178,0.773,URLSE
179,0.561,URLSE
180,0.526,URLSE
181,0.611,URLSE
182,0.561,URLSE
183,0.281,URLSE
184,0.356,URLSE
185,0.127,URLSE
186,0.9390000000000001,URLSE
187,0.603,URLSE
188,0.851,URLSE
189,0.10200000000000001,URLSE
190,0.9460000000000001,URLSE
191,0.971,URLSE
192,0.05,URLSE
193,0.003,URLSE
194,0.749,URLSE
195,0.37,URLSE
196,0.741,URLSE
197,0.787,URLSE
198,0.806,URLSE
199,0.868,URLSE
